Loan_ID;Gender;Education;Self_Employed;Credit_History;Married;Dependents;Property_Area;ApplicantIncome;CoapplicantIncome;LoanAmount;Loan_Amount_Term;Loan_Status
LP001849;Male;False;False;False;False;0;Rural;6045;;115.0;360.0;False
LP001854;Male;True;False;True;True;3+;Urban;5250;;94.0;360.0;False
LP001859;Male;True;False;True;True;0;Rural;14683;2100.0;304.0;360.0;False
LP001864;Male;False;False;;True;3+;Semiurban;4931;;128.0;360.0;False
LP001870;Female;True;False;True;False;1;Semiurban;3481;;155.0;36.0;False
LP001883;Female;True;;True;False;0;Rural;3418;;135.0;360.0;False
LP001910;Male;False;True;False;False;1;Urban;4053;2426.0;158.0;360.0;False
LP001925;Female;True;True;True;False;0;Semiurban;2600;1717.0;99.0;300.0;False
LP001938;Male;True;False;False;True;2;Semiurban;4400;;127.0;360.0;False
LP001945;Female;True;False;False;False;;Urban;5417;;143.0;480.0;False
LP001955;Female;True;False;True;False;0;Rural;5000;2541.0;151.0;480.0;False
LP001963;Male;True;False;True;True;1;Urban;2014;2925.0;113.0;360.0;False
LP001964;Male;False;False;False;True;0;Urban;1800;2934.0;93.0;360.0;False
LP001994;Female;True;False;False;False;0;Urban;2400;1863.0;104.0;360.0;False
LP001996;Male;True;False;True;False;0;Rural;20233;;480.0;360.0;False
LP002024;;True;False;True;True;0;Rural;2473;1843.0;159.0;360.0;False
LP002050;Male;True;True;True;True;1;Rural;10000;;155.0;360.0;False
LP002067;Male;True;True;False;True;1;Rural;8666;4983.0;376.0;360.0;False
LP002086;Female;True;False;True;True;0;Urban;4333;2451.0;110.0;360.0;False
LP002115;Male;False;False;True;True;3+;Rural;2647;1587.0;173.0;360.0;False
LP002116;Female;True;False;True;False;0;Rural;2378;;46.0;360.0;False
LP002130;Male;False;False;False;True;;Rural;3523;3230.0;152.0;360.0;False
LP002140;Male;True;False;True;False;0;Rural;8750;4167.0;308.0;360.0;False
LP002142;Female;True;True;False;True;0;Rural;5500;;105.0;360.0;False
LP002151;Male;True;False;True;True;1;Urban;3875;;67.0;360.0;False
LP002158;Male;False;False;False;True;0;Urban;3000;1666.0;100.0;480.0;False
LP002161;Female;True;False;True;False;1;Semiurban;4723;;81.0;360.0;False
LP002181;Male;False;False;True;False;0;Rural;6216;;133.0;360.0;False
LP002187;Male;True;False;True;False;0;Semiurban;2500;;96.0;480.0;False
LP002191;Male;True;False;True;True;0;Rural;19730;5266.0;570.0;360.0;False
LP002205;Male;True;False;False;False;1;Urban;3062;1987.0;111.0;180.0;False
LP002224;Male;True;False;True;False;0;Urban;3069;;71.0;480.0;False
LP002236;Male;True;False;True;True;2;Urban;4566;;100.0;360.0;False
LP002277;Female;True;False;False;False;0;Urban;3180;;71.0;360.0;False
LP002287;Female;True;False;False;False;0;Semiurban;1500;1800.0;103.0;360.0;False
LP002288;Male;False;False;False;True;2;Urban;2889;;45.0;180.0;False
LP002296;Male;False;False;True;False;0;Rural;2755;;65.0;300.0;False
LP002301;Female;True;True;True;False;0;Rural;7441;;194.0;360.0;False
LP002315;Male;True;False;False;True;1;Semiurban;8300;;152.0;300.0;False
LP002317;Male;True;False;False;True;3+;Rural;81000;;360.0;360.0;False
LP002318;Female;False;True;True;False;1;Semiurban;3867;;62.0;360.0;False
LP002328;Male;False;False;False;True;0;Rural;6096;;218.0;360.0;False
LP002335;Female;False;False;False;True;0;Semiurban;2149;3237.0;178.0;360.0;False
LP002341;Female;True;False;True;False;1;Urban;2600;;160.0;360.0;False
LP002342;Male;True;True;True;True;2;Urban;1600;20000.0;239.0;360.0;False
LP002367;Female;False;False;True;False;1;Rural;4606;;81.0;360.0;False
LP002379;Male;True;False;False;False;0;Rural;6500;;105.0;360.0;False
LP002403;Male;True;True;False;False;0;Urban;10416;;187.0;360.0;False
LP002435;Male;True;;True;True;0;Rural;3539;1376.0;55.0;360.0;False
LP002443;Male;True;False;False;True;2;Rural;3340;1710.0;150.0;360.0;False
LP002444;Male;False;True;;False;1;Semiurban;2769;1542.0;190.0;360.0;False
LP002446;Male;False;False;False;True;2;Rural;2309;1255.0;125.0;360.0;False
LP002448;Male;True;False;False;True;0;Rural;3948;1733.0;149.0;360.0;False
LP002467;Male;True;False;True;True;0;Urban;3708;2569.0;173.0;360.0;False
LP002473;Male;True;False;True;True;0;Semiurban;8334;;160.0;360.0;False
LP002493;Male;True;False;False;False;0;Semiurban;4166;;98.0;360.0;False
LP002500;Male;False;False;False;True;3+;Urban;2947;1664.0;70.0;180.0;False
LP002505;Male;True;False;True;True;0;Urban;4333;2451.0;110.0;360.0;False
LP002517;Male;False;False;False;True;1;Rural;2653;1500.0;113.0;180.0;False
LP002530;;True;False;False;True;2;Semiurban;2873;1872.0;132.0;360.0;False
LP002545;Male;True;False;False;False;2;Rural;3547;;80.0;360.0;False
LP002547;Male;True;False;True;True;1;Urban;18333;;500.0;360.0;False
LP002556;Male;True;False;True;False;0;Urban;2435;;75.0;360.0;False
LP002585;Male;True;False;False;True;0;Rural;3597;2157.0;119.0;360.0;False
LP002602;Male;True;False;False;False;0;Rural;6283;4416.0;209.0;360.0;False
LP002618;Male;False;False;;True;1;Rural;4050;5302.0;138.0;360.0;False
LP002625;;True;False;True;False;0;Urban;3583;;96.0;360.0;False
LP002637;Male;False;False;True;False;0;Rural;3598;1287.0;100.0;360.0;False
LP002648;Male;True;False;True;True;0;Semiurban;2130;6666.0;70.0;180.0;False
LP002652;Male;True;False;True;False;0;Rural;5815;3666.0;311.0;360.0;False
LP002682;Male;False;False;False;True;;Semiurban;3074;1800.0;123.0;360.0;False
LP002683;Male;True;False;True;False;0;Semiurban;4683;1915.0;185.0;360.0;False
LP002684;Female;False;False;True;False;0;Rural;3400;;95.0;360.0;False
LP002723;Male;True;False;False;False;2;Rural;3588;;110.0;360.0;False
LP002729;Male;True;False;;False;1;Semiurban;11250;;196.0;360.0;False
LP002739;Male;False;False;True;True;0;Rural;2917;536.0;66.0;360.0;False
LP002743;Female;True;False;False;False;0;Semiurban;2138;;99.0;360.0;False
LP002768;Male;False;False;True;False;0;Semiurban;3358;;80.0;36.0;False
LP002776;Female;True;False;False;False;0;Semiurban;5000;;103.0;360.0;False
LP002788;Male;False;False;False;True;0;Urban;2454;2333.0;181.0;360.0;False
LP002789;Male;True;False;False;True;0;Rural;3593;4266.0;132.0;180.0;False
LP002832;Male;True;False;False;True;2;Urban;8799;;258.0;360.0;False
LP002837;Male;True;False;False;True;3+;Rural;3400;2500.0;123.0;360.0;False
LP002840;Female;True;False;True;False;0;Urban;2378;;9.0;360.0;False
LP002841;Male;True;False;False;True;0;Urban;3166;2064.0;104.0;360.0;False
LP002847;Male;True;False;False;True;;Urban;5116;1451.0;165.0;360.0;False
LP002862;Male;False;False;True;True;2;Semiurban;6125;1625.0;187.0;480.0;False
LP002863;Male;True;False;True;True;3+;Semiurban;6406;;150.0;360.0;False
LP002872;;True;False;False;True;0;Semiurban;3087;2210.0;136.0;360.0;False
LP002893;Male;True;False;True;False;0;Urban;1836;33837.0;90.0;360.0;False
LP002898;Male;True;False;;True;1;Rural;1880;;61.0;360.0;False
LP002911;Male;True;False;False;True;1;Rural;2787;1917.0;146.0;360.0;False
LP002912;Male;True;False;True;True;1;Rural;4283;3000.0;172.0;84.0;False
LP002926;Male;True;True;False;True;2;Semiurban;2726;;106.0;360.0;False
LP002931;Male;True;True;True;True;2;Semiurban;6000;;205.0;240.0;False
LP002941;Male;False;True;True;True;2;Rural;6383;1000.0;187.0;360.0;False
LP002943;Male;True;False;False;False;;Semiurban;2987;;88.0;360.0;False
LP002949;Female;True;;;False;3+;Urban;416;41667.0;350.0;180.0;False
LP002990;Female;True;True;False;False;0;Semiurban;4583;;133.0;360.0;False
